,snp
0,1573856032
1,1573856015
2,1573855660
3,1573855588
4,1573855529
5,1573855419
6,1573855343
7,1573855214
8,1573855163
9,1573855154
10,1573855028
11,1573855013
12,1573854813
13,1573854762
14,1573854733
15,1573854727
16,1573854399
17,1573854297
18,1573854221
19,1573854183
20,1573854044
21,1573854031
22,1573853628
23,1573853589
24,1573853477
25,1573853431
26,1573853263
27,1573852758
28,1573852744
29,1573852446
30,1573852424
31,1573852313
32,1573851590
33,1573851576
34,1573851403
35,1573851375
36,1573851077
37,1573849333
38,1573848490
39,1573847824
40,1573847623
41,1573847400
42,1573846419
43,1573846372
44,1573844622
45,1573843786
46,1573843143
47,1573842528
48,1573842211
49,1573841600
50,1573841581
51,1573841508
52,1573841472
53,1573841117
54,1573839669
55,1573839603
56,1573838176
57,1573837836
58,1573837551
59,1573837377
60,1573836975
61,1573836829
62,1573836807
63,1573836114
64,1573836045
65,1573835981
66,1573835739
67,1573835695
68,1573835021
69,1573834894
70,1573834811
71,1573834642
72,1573834628
73,1573834012
74,1573833944
75,1573833554
76,1573832987
77,1573832843
78,1573832664
79,1573832532
80,1573831723
81,1573831554
82,1573830704
83,1573829994
84,1573829819
85,1573829691
86,1573829396
87,1573829301
88,1573828892
89,1573828213
90,1573827924
91,1573827825
92,1573827293
93,1573827080
94,1573826546
95,1573825959
96,1573825835
97,1573825167
98,1573825153
99,1573825044
100,1573824249
101,1573823191
102,1573822856
103,1573822782
104,1573822497
105,1573822355
106,1573821638
107,1573821600
108,1573821376
109,1573820965
110,1573820578
111,1573819957
112,1573819528
113,1573819098
114,1573818697
115,1573816260
116,1573816226
117,1573816169
118,1573816068
119,1573815779
120,1573815684
121,1573815603
122,1573815574
123,1573815548
124,1573815472
125,1573815091
126,1573814992
127,1573814955
128,1573814432
129,1573814319
130,1573813542
131,1573813436
132,1573811974
133,1573811752
134,1573810955
135,1573810939
136,1573810782
137,1573810695
138,1573810529
139,1573810276
140,1573808761
141,1573807092
142,1573806359
143,1573806303
144,1573806221
145,1573806116
146,1573805972
147,1573805953
148,1573805529
149,1573805491
150,1573805242
151,1573804997
152,1573804841
153,1573804215
154,1573803608
155,1573802913
156,1573802834
157,1573802374
158,1573802223
159,1573801770
160,1573801683
161,1573801284
162,1573799327
163,1573799158
164,1573798185
165,1573797988
166,1573797600
167,1573797130
168,1573797068
169,1573796330
170,1573796111
171,1573795934
172,1573795904
173,1573795801
174,1573795766
175,1573795672
176,1573795514
177,1573795190
178,1573794902
179,1573794819
180,1573794539
181,1573794473
182,1573794457
183,1573794375
184,1573793711
185,1573793657
186,1573793592
187,1573793049
188,1573792971
189,1573792950
190,1573792906
191,1573791979
192,1573791966
193,1573791754
194,1573791729
195,1573791700
196,1573791605
197,1573791305
198,1573791283
199,1573791225
200,1573791125
201,1573791062
202,1573791020
203,1573790994
204,1573790955
205,1573790449
206,1573790318
207,1573789338
208,1573789132
209,1573788881
210,1573788162
211,1573787809
212,1573787571
213,1573786859
214,1573786705
215,1573786490
216,1573786106
217,1573785444
218,1573785150
219,1573784446
220,1573784260
221,1573784038
222,1573783333
223,1573782640
224,1573782398
225,1573782209
226,1573781390
227,1573781368
228,1573781299
229,1573780565
230,1573779911
231,1573779566
232,1573779551
233,1573779078
234,1573778713
235,1573778392
236,1573778277
237,1573777991
238,1573777950
239,1573777795
240,1573777683
241,1573777493
242,1573776847
243,1573776373
244,1573775891
245,1573775728
246,1573775423
247,1573774718
248,1573774560
249,1573774377
250,1573774333
251,1573774143
252,1573773988
253,1573773775
254,1573773539
255,1573773515
256,1573773091
257,1573772989
258,1573772911
259,1573772717
260,1573772517
261,1573771937
262,1573771249
263,1573770133
264,1573769672
265,1573769494
266,1573769466
267,1573769294
268,1573769097
269,1573768970
270,1573768646
271,1573768617
272,1573768303
273,1573767772
274,1573767711
275,1573767580
276,1573767415
277,1573767296
278,1573767282
279,1573766649
280,1573766312
281,1573766158
282,1573765820
283,1573765524
284,1573765455
285,1573765360
286,1573765289
287,1573764907
288,1573763632
289,1573763462
290,1573763315
291,1573763189
292,1573763073
293,1573762970
294,1573762841
295,1573762805
296,1573762786
297,1573762745
298,1573762117
299,1573762012
300,1573761398
301,1573760957
302,1573760871
303,1573760850
304,1573760711
305,1573760504
306,1573760052
307,1573759547
308,1573759053
309,1573758800
310,1573756507
311,1573756472
312,1573756078
313,1573755866
314,1573755776
315,1573755632
316,1573755612
317,1573754288
318,1573753763
319,1573753466
320,1573753109
321,1573753090
322,1573752970
323,1573752613
324,1573752491
325,1573752329
326,1573752096
327,1573751747
328,1573751636
329,1573751610
330,1573751400
331,1573751202
332,1573750841
333,1573750200
334,1573750187
335,1573749956
336,1573749872
337,1573749608
338,1573749466
339,1573749050
340,1573748353
341,1573748217
342,1573747274
343,1573747185
344,1573745804
345,1573745325
346,1573745276
347,1573744456
348,1573744438
349,1573744399
350,1573744318
351,1573744236
352,1573743480
353,1573742505
354,1573741753
355,1573741213
356,1573741047
357,1573740537
358,1573739960
359,1573739859
360,1573738651
361,1573738379
362,1573738357
363,1573737604
364,1573737110
365,1573737097
366,1573737031
367,1573736993
368,1573736756
369,1573736718
370,1573736576
371,1573736524
372,1573736473
373,1573735230
374,1573734886
375,1573734713
376,1573734389
377,1573733008
378,1573732076
379,1573730131
380,1573729641
381,1573729455
382,1573728556
383,1573728435
384,1573727395
385,1573727263
386,1573726926
387,1573726900
388,1573725990
389,1573725609
390,1573725564
391,1573725525
392,1573725450
393,1573724672
394,1573724626
395,1573724472
396,1573724214
397,1573724191
398,1573724130
399,1573723896
400,1573723681
401,1573723137
402,1573723045
403,1573722968
404,1573722784
405,1573722222
406,1573721767
407,1573721570
408,1573720734
409,1573720569
410,1573720448
411,1573720163
412,1573719983
413,1573719835
414,1573718987
415,1573718733
416,1573718413
417,1573718204
418,1573718067
419,1573718024
420,1573717932
421,1573717915
422,1573717556
423,1573716786
424,1573716624
425,1573716533
426,1573716149
427,1573715684
428,1573714934
429,1573714838
430,1573714785
431,1573714703
432,1573713725
433,1573713677
434,1573713330
435,1573712336
436,1573712318
437,1573712287
438,1573712065
439,1573712034
440,1573711837
441,1573711336
442,1573711102
443,1573710598
444,1573710485
445,1573710463
446,1573710143
447,1573709572
448,1573709460
449,1573709437
450,1573709212
451,1573708861
452,1573708432
453,1573707675
454,1573705634
455,1573705531
456,1573703052
457,1573702938
458,1573702586
459,1573702099
460,1573701809
461,1573701250
462,1573700647
463,1573700525
464,1573699568
465,1573699385
466,1573698283
467,1573697833
468,1573697556
469,1573696938
470,1573696155
471,1573695218
472,1573694742
473,1573694490
474,1573694380
475,1573693582
476,1573693190
477,1573692947
478,1573692852
479,1573692780
480,1573692703
481,1573691809
482,1573691173
483,1573690392
484,1573690305
485,1573690255
486,1573689722
487,1573688889
488,1573687810
489,1573687277
490,1573687196
491,1573686960
492,1573686797
493,1573686753
494,1573686359
495,1573686262
496,1573686003
497,1573685857
498,1573685700
499,1573685617
500,1573685347
501,1573684269
502,1573683684
503,1573683629
504,1573683093
505,1573682993
506,1573682943
507,1573682916
508,1573682819
509,1573682725
510,1573682703
511,1573682255
512,1573682191
513,1573682059
514,1573682013
515,1573681957
516,1573681920
517,1573681566
518,1573681428
519,1573681292
520,1573681235
521,1573681116
522,1573681051
523,1573680337
524,1573680108
525,1573679867
526,1573679797
527,1573679543
528,1573679154
529,1573678933
530,1573678752
531,1573678707
532,1573678681
533,1573677741
534,1573677035
535,1573676736
536,1573676516
537,1573675247
538,1573674516
539,1573674493
540,1573674284
541,1573674034
542,1573672845
543,1573672812
544,1573672567
545,1573672281
546,1573672257
547,1573672129
548,1573672063
549,1573671965
550,1573671907
551,1573670502
552,1573670228
553,1573669774
554,1573669327
555,1573669257
556,1573668792
557,1573668242
558,1573668189
559,1573667262
560,1573666755
561,1573666545
562,1573666444
563,1573666315
564,1573666263
565,1573666241
566,1573666003
567,1573665759
568,1573665627
569,1573665222
570,1573664231
571,1573663514
572,1573663208
573,1573662746
574,1573662722
575,1573662626
576,1573662364
577,1573661876
578,1573661232
579,1573661042
580,1573659477
581,1573659208
582,1573658002
583,1573657827
584,1573657799
585,1573657112
586,1573657086
587,1573656768
588,1573656579
589,1573656188
590,1573655699
591,1573655642
592,1573654937
593,1573654735
594,1573654718
595,1573654268
596,1573654051
597,1573654026
598,1573653116
599,1573653092
600,1573653001
601,1573652688
602,1573652442
603,1573651776
604,1573651638
605,1573651432
606,1573651386
607,1573650999
608,1573650977
609,1573650811
610,1573650726
611,1573650224
612,1573650069
613,1573649312
614,1573649038
615,1573648631
616,1573648604
617,1573648478
618,1573648064
619,1573647825
620,1573647561
621,1573646789
622,1573646042
623,1573646005
624,1573645734
625,1573645619
626,1573645419
627,1573644777
628,1573643316
629,1573643284
630,1573641661
631,1573641451
632,1573641228
633,1573641147
634,1573640272
635,1573639501
636,1573639473
637,1573639227
638,1573638850
639,1573637493
640,1573637116
641,1573637101
642,1573636879
643,1573636681
644,1573636298
645,1573635921
646,1573635454
647,1573635434
648,1573634385
649,1573634049
650,1573633487
651,1573632580
652,1573631934
653,1573630569
654,1573629685
655,1573629045
656,1573628932
657,1573628476
658,1573628405
659,1573627832
660,1573627647
661,1573627598
662,1573627536
663,1573627082
664,1573626436
665,1573625485
666,1573625082
667,1573624976
668,1573624759
669,1573624480
670,1573624402
671,1573624374
672,1573624279
673,1573623626
674,1573623547
675,1573623532
676,1573623243
677,1573623213
678,1573622781
679,1573622572
680,1573621879
681,1573621661
682,1573620766
683,1573620500
684,1573620357
685,1573620169
686,1573619820
687,1573618513
688,1573618467
689,1573618341
690,1573618275
691,1573617518
692,1573617430
693,1573616935
694,1573616294
695,1573614372
696,1573614200
697,1573613958
698,1573613757
699,1573613567
700,1573613499
701,1573613155
702,1573613026
703,1573612968
704,1573612370
705,1573611994
706,1573611760
707,1573611005
708,1573610955
709,1573609208
710,1573609005
711,1573608578
712,1573607170
713,1573606891
714,1573606668
715,1573605589
716,1573604901
717,1573604879
718,1573603370
719,1573602047
720,1573601627
721,1573601543
722,1573601417
723,1573601147
724,1573599547
725,1573599504
726,1573599291
727,1573599143
728,1573598819
729,1573598218
730,1573598059
731,1573597894
732,1573597864
733,1573597735
734,1573595971
735,1573595232
736,1573595157
737,1573595083
738,1573595057
739,1573595032
740,1573594827
741,1573594725
742,1573594682
743,1573594458
744,1573593805
745,1573593789
746,1573593758
747,1573593518
748,1573593073
749,1573593016
750,1573592575
751,1573592532
752,1573592388
753,1573591358
754,1573589746
755,1573589273
756,1573588538
757,1573588456
758,1573588311
759,1573588104
760,1573587978
761,1573587954
762,1573587730
763,1573586687
764,1573586520
765,1573586272
766,1573585481
767,1573585330
768,1573585166
769,1573584755
770,1573584230
771,1573584172
772,1573583859
773,1573583703
774,1573583470
775,1573583229
776,1573583099
777,1573583024
778,1573582887
779,1573582737
780,1573581088
781,1573580926
782,1573579966
783,1573579252
784,1573579228
785,1573578964
786,1573578425
787,1573578307
788,1573577727
789,1573577495
790,1573577456
791,1573577343
792,1573577112
793,1573576490
794,1573576416
795,1573576381
796,1573576143
797,1573575853
798,1573575827
799,1573575563
800,1573575057
801,1573574781
802,1573574609
803,1573574343
804,1573574314
805,1573574152
806,1573573777
807,1573573746
808,1573573446
809,1573573040
810,1573572041
811,1573571427
812,1573571141
813,1573571011
814,1573569717
815,1573569653
816,1573568879
817,1573568853
818,1573568756
819,1573568353
820,1573567913
821,1573566455
822,1573566099
823,1573565387
824,1573565300
825,1573564976
826,1573564814
827,1573564594
828,1573564470
829,1573564380
830,1573564283
831,1573564186
832,1573563975
833,1573563083
834,1573562744
835,1573562225
836,1573562170
837,1573562088
838,1573560809
839,1573560363
840,1573560172
841,1573560089
842,1573559994
843,1573559261
844,1573559073
845,1573558920
846,1573558519
847,1573558187
848,1573557783
849,1573556715
850,1573555802
851,1573555072
852,1573554741
853,1573554689
854,1573554142
855,1573554046
856,1573553931
857,1573553873
858,1573553822
859,1573553637
860,1573552524
861,1573552111
862,1573551979
863,1573550321
864,1573549844
865,1573549743
866,1573549506
867,1573549267
868,1573548119
869,1573548074
870,1573547939
871,1573547893
872,1573547860
873,1573547309
874,1573547287
875,1573547041
876,1573547016
877,1573546730
878,1573546577
879,1573546554
880,1573545869
881,1573545350
882,1573544723
883,1573544685
884,1573544660
885,1573543438
886,1573542770
887,1573542724
888,1573542468
889,1573542414
890,1573542283
891,1573541690
892,1573541628
893,1573541589
894,1573541544
895,1573541468
896,1573541445
897,1573540970
898,1573539169
899,1573539153
900,1573538652
901,1573538401
902,1573538377
903,1573537908
904,1573537826
905,1573537578
906,1573537322
907,1573537261
908,1573536978
909,1573536930
910,1573534546
911,1573534298
912,1573533803
913,1573533376
914,1573533037
915,1573532756
916,1573531833
917,1573530113
918,1573530039
919,1573529604
920,1573529386
921,1573529363
922,1573529147
923,1573529059
924,1573529033
925,1573528831
926,1573528126
927,1573528096
928,1573527583
929,1573526323
930,1573525875
931,1573525247
932,1573525155
933,1573524900
934,1573524438
935,1573524263
936,1573524177
937,1573523792
938,1573523591
939,1573523517
940,1573523407
941,1573522751
942,1573522548
943,1573522504
944,1573522215
945,1573522028
946,1573521975
947,1573521947
948,1573521796
949,1573521220
950,1573520741
951,1573520724
952,1573520518
953,1573520468
954,1573520206
955,1573520136
956,1573520108
957,1573520084
958,1573519640
959,1573519034
960,1573518736
961,1573518711
962,1573518450
963,1573518431
964,1573518401
965,1573518353
966,1573518317
967,1573518290
968,1573518157
969,1573517877
970,1573516659
971,1573516104
972,1573515305
973,1573514885
974,1573514581
975,1573514480
976,1573512697
977,1573512619
978,1558903016
979,1558902726
980,1558902716
981,1558902703
982,1558902608
983,1558902386
984,1558902299
985,1558902273
986,1558902019
987,1558901991
988,1558901919
989,1558901754
990,1558901640
991,1558900086
992,1558899764
993,1558899630
994,1558898791
995,1558897733
996,1558897127
997,1558896892
998,1558896880
999,1558896861
1000,1558896364
1001,1558895650
1002,1558895586
1003,1558895366
1004,1558894673
1005,1558894598
1006,1558894540
1007,1558894313
1008,1558893954
1009,1558892924
1010,1558892908
1011,1558892845
1012,1558892606
1013,1558891815
1014,1558891780
1015,1558891500
1016,1558891428
1017,1558891172
1018,1558891046
1019,1558890723
1020,1558890241
1021,1558889483
1022,1558889005
1023,1558888581
1024,1558888426
1025,1558887775
1026,1558887666
1027,1558887433
1028,1558885640
1029,1558885598
1030,1558885504
1031,1558884497
1032,1558884056
1033,1558883939
1034,1558883778
1035,1558883565
1036,1558883540
1037,1558883272
1038,1558883181
1039,1558882773
1040,1558882576
1041,1558882533
1042,1558882493
1043,1558882233
1044,1558881917
1045,1558881770
1046,1558881633
1047,1558881221
1048,1558880908
1049,1558880553
1050,1558880030
1051,1558880025
1052,1558879981
1053,1558878197
1054,1558877807
1055,1558876309
1056,1558875376
1057,1558874093
1058,1558873820
1059,1558873161
1060,1558872993
1061,1558872957
1062,1558872648
1063,1558872356
1064,1558871835
1065,1558871146
1066,1558870835
1067,1558870590
1068,1558870556
1069,1558869716
1070,1558869625
1071,1558869576
